path,class,kind,current_layer,detected_form,expected_name,target_path,issues,action
src/Api/Controller/OrderAuditAction.php,OrderAuditAction,class,Api,Controller,OrderAuditActionController,src/Controller/OrderAuditActionController.php,missing_or_wrong_suffix|wrong_layer_or_path|namespace_drift,review_or_move
src/Api/Controller/OrderPayAction.php,OrderPayAction,class,Api,Controller,OrderPayActionController,src/Controller/OrderPayActionController.php,missing_or_wrong_suffix|wrong_layer_or_path|namespace_drift,review_or_move
src/Api/Controller/OrderPayController.php,OrderPayController,class,Api,Controller,OrderPayController,src/Controller/OrderPayController.php,wrong_layer_or_path|namespace_drift,review_or_move
src/Api/Controller/OrderRefundAction.php,OrderRefundAction,class,Api,Controller,OrderRefundActionController,src/Controller/OrderRefundActionController.php,missing_or_wrong_suffix|wrong_layer_or_path|namespace_drift,review_or_move
src/Api/Controller/OrderShipAction.php,OrderShipAction,class,Api,Controller,OrderShipActionController,src/Controller/OrderShipActionController.php,missing_or_wrong_suffix|wrong_layer_or_path|namespace_drift,review_or_move
src/Api/Controller/OrderShipController.php,OrderShipController,class,Api,Controller,OrderShipController,src/Controller/OrderShipController.php,wrong_layer_or_path|namespace_drift,review_or_move
src/Api/Dto/Order/OrderCreateInput.php,OrderCreateInput,class,Api,Api,OrderCreateInput,src/Api/Dto/Order/OrderCreateInput.php,,keep
src/Api/Dto/OrderInput.php,OrderInput,class,Api,Api,OrderInput,src/Api/Dto/OrderInput.php,,keep
src/Api/Dto/OrderOutput.php,OrderOutput,class,Api,Api,OrderOutput,src/Api/Dto/OrderOutput.php,,keep
src/Api/Dto/OrderPartialPaymentInput.php,OrderPartialPaymentInput,class,Api,Api,OrderPartialPaymentInput,src/Api/Dto/OrderPartialPaymentInput.php,,keep
src/Api/Dto/OrderPayInput.php,OrderPayInput,class,Api,Api,OrderPayInput,src/Api/Dto/OrderPayInput.php,,keep
src/Api/Dto/OrderRefundInput.php,OrderRefundInput,class,Api,Api,OrderRefundInput,src/Api/Dto/OrderRefundInput.php,,keep
src/Api/Dto/OrderShipInput.php,OrderShipInput,class,Api,Api,OrderShipInput,src/Api/Dto/OrderShipInput.php,,keep
src/Api/Processor/OrderPartialPaymentProcessor.php,OrderPartialPaymentProcessor,class,Api,Processor,OrderPartialPaymentProcessor,src/Processor/OrderPartialPaymentProcessor.php,wrong_layer_or_path|namespace_drift,review_or_move
src/Api/Processor/OrderRefundProcessor.php,OrderRefundProcessor,class,Api,Processor,OrderRefundProcessor,src/Processor/OrderRefundProcessor.php,wrong_layer_or_path|namespace_drift,review_or_move
src/Api/Provider/OrderMetricsAggregateProvider.php,OrderMetricsAggregateProvider,class,Api,Provider,OrderMetricsAggregateProvider,src/Provider/OrderMetricsAggregateProvider.php,wrong_layer_or_path|namespace_drift,review_or_move
src/Api/Provider/OrderMetricsProvider.php,OrderMetricsProvider,class,Api,Provider,OrderMetricsProvider,src/Provider/OrderMetricsProvider.php,wrong_layer_or_path|namespace_drift,review_or_move
src/Api/Provider/OrderMetricsRollupProvider.php,OrderMetricsRollupProvider,class,Api,Provider,OrderMetricsRollupProvider,src/Provider/OrderMetricsRollupProvider.php,wrong_layer_or_path|namespace_drift,review_or_move
src/Api/Resource/Order/OrderResource.php,OrderResource,class,Api,ApiResource,OrderResource,src/ApiResource/Order/OrderResource.php,wrong_layer_or_path|namespace_drift,review_or_move
src/Api/State/OrderDataPersister.php,OrderDataPersister,class,Api,Api,OrderDataPersister,src/Api/OrderDataPersister.php,wrong_layer_or_path|namespace_drift,review_or_move
src/Api/State/OrderPriceProvider.php,OrderPriceProvider,class,Api,Provider,OrderPriceProvider,src/Provider/OrderPriceProvider.php,wrong_layer_or_path|namespace_drift,review_or_move
src/ApiResource/View/Order/OrderResource.php,OrderResource,class,ApiResource,ApiResource,OrderResource,src/ApiResource/View/Order/OrderResource.php,,keep
src/ApiResource/View/Order/PricingConvertInput.php,PricingConvertInput,class,ApiResource,ApiResource,PricingConvertInput,src/ApiResource/View/Order/PricingConvertInput.php,,keep
src/ApiResource/View/Order/PricingConvertOutput.php,PricingConvertOutput,class,ApiResource,ApiResource,PricingConvertOutput,src/ApiResource/View/Order/PricingConvertOutput.php,,keep
src/ApiResource/View/Order/RefundView.php,RefundView,class,ApiResource,ApiResource,RefundView,src/ApiResource/View/Order/RefundView.php,,keep
src/ApiResource/View/Order/ReturnRequestInput.php,ReturnRequestInput,class,ApiResource,ApiResource,ReturnRequestInput,src/ApiResource/View/Order/ReturnRequestInput.php,,keep
src/ApiResource/View/Order/ReturnRequestOutput.php,ReturnRequestOutput,class,ApiResource,ApiResource,ReturnRequestOutput,src/ApiResource/View/Order/ReturnRequestOutput.php,,keep
src/AuditInterface/Archival/Order/OrderArchivalInterface.php,OrderArchivalInterface,interface,AuditInterface,AuditInterface,OrderArchivalInterface,src/AuditInterface/Archival/Order/OrderArchivalInterface.php,,keep
src/Command/ClearOrdersCommand.php,ClearOrdersCommand,class,Command,Command,ClearOrdersCommand,src/Command/ClearOrdersCommand.php,,keep
src/Command/DlqRequeueCommand.php,DlqRequeueCommand,class,Command,Command,DlqRequeueCommand,src/Command/DlqRequeueCommand.php,,keep
src/Command/GenerateOrdersCommand.php,GenerateOrdersCommand,class,Command,Command,GenerateOrdersCommand,src/Command/GenerateOrdersCommand.php,,keep
src/Command/ListOrdersCommand.php,ListOrdersCommand,class,Command,Command,ListOrdersCommand,src/Command/ListOrdersCommand.php,,keep
src/Command/Operations/Order/AuditRotateCommand.php,AuditRotateCommand,class,Command,Command,AuditRotateCommand,src/Command/Operations/Order/AuditRotateCommand.php,,keep
src/Command/Operations/Order/AuditShipS3Command.php,AuditShipS3Command,class,Command,Command,AuditShipS3Command,src/Command/Operations/Order/AuditShipS3Command.php,,keep
src/Command/Operations/Order/DlqListCommand.php,DlqListCommand,class,Command,Command,DlqListCommand,src/Command/Operations/Order/DlqListCommand.php,,keep
src/Command/Operations/Order/DlqRequeueCommand.php,DlqRequeueCommand,class,Command,Command,DlqRequeueCommand,src/Command/Operations/Order/DlqRequeueCommand.php,,keep
src/Command/Operations/Order/OutboxRelayCommand.php,OutboxRelayCommand,class,Command,Command,OutboxRelayCommand,src/Command/Operations/Order/OutboxRelayCommand.php,,keep
src/Command/Operations/Order/SyncReadModelCommand.php,SyncReadModelCommand,class,Command,Command,SyncReadModelCommand,src/Command/Operations/Order/SyncReadModelCommand.php,,keep
src/Command/OrderDemoLoadCommand.php,OrderDemoLoadCommand,class,Command,Command,OrderDemoLoadCommand,src/Command/OrderDemoLoadCommand.php,,keep
src/Command/OrderDemoResetCommand.php,OrderDemoResetCommand,class,Command,Command,OrderDemoResetCommand,src/Command/OrderDemoResetCommand.php,,keep
src/Command/OrderDiagnosticsCommand.php,OrderDiagnosticsCommand,class,Command,Command,OrderDiagnosticsCommand,src/Command/OrderDiagnosticsCommand.php,,keep
src/Command/OrderMetricsExportCommand.php,OrderMetricsExportCommand,class,Command,Command,OrderMetricsExportCommand,src/Command/OrderMetricsExportCommand.php,,keep
src/Command/OrderReportCommand.php,OrderReportCommand,class,Command,Command,OrderReportCommand,src/Command/OrderReportCommand.php,,keep
src/Command/OutboxDispatchCommand.php,OutboxDispatchCommand,class,Command,Command,OutboxDispatchCommand,src/Command/OutboxDispatchCommand.php,,keep
src/Command/OutboxProcessCommand.php,OutboxProcessCommand,class,Command,Command,OutboxProcessCommand,src/Command/OutboxProcessCommand.php,,keep
src/Command/OutboxReplayCommand.php,OutboxReplayCommand,class,Command,Command,OutboxReplayCommand,src/Command/OutboxReplayCommand.php,,keep
src/Command/StatsOrdersCommand.php,StatsOrdersCommand,class,Command,Command,StatsOrdersCommand,src/Command/StatsOrdersCommand.php,,keep
src/Command/ValidateDoctrineMappingCommand.php,ValidateDoctrineMappingCommand,class,Command,Command,ValidateDoctrineMappingCommand,src/Command/ValidateDoctrineMappingCommand.php,,keep
